,基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周增长率,近1月增长率,近3月,近半年
2,005968,创金合信工业周期股票A,2021-01-22,3.4165,3.4165,3.30,9.61,29.57,59.48,84.88
3,005969,创金合信工业周期股票C,2021-01-22,3.3565,3.3565,3.30,9.59,29.49,59.20,84.24
46,005037,银华新能源新材料A,2021-01-22,1.7703,1.7703,3.41,9.50,20.15,47.72,57.74
25,001245,工银生态环境股票,2021-01-22,2.0280,2.0280,3.52,9.44,19.93,52.48,64.48
16,005939,工银新能源汽车混合A,2021-01-22,3.2094,3.2094,3.38,9.33,21.97,57.94,68.33
17,005940,工银新能源汽车混合C,2021-01-22,3.1528,3.1528,3.38,9.32,21.93,57.78,67.99
26,001951,金鹰改革红利混合,2021-01-22,2.5390,2.5390,3.72,9.11,21.08,55.29,63.60
32,008641,方正富邦科技创新C,2021-01-22,1.9711,1.9711,4.09,8.85,21.82,45.62,61.37
31,008640,方正富邦科技创新A,2021-01-22,1.9761,1.9761,4.09,8.85,21.84,45.72,61.53
42,001476,中银智能制造股票,2021-01-22,1.8630,1.8630,2.14,8.82,22.57,38.20,58.82
30,398051,中海环保新能源混合,2021-01-22,2.3350,2.3350,3.41,8.60,15.42,44.49,62.15
6,004812,中欧先进制造股票A,2021-01-22,3.0009,3.0009,2.88,8.56,17.37,47.88,74.72
8,004813,中欧先进制造股票C,2021-01-22,2.9913,2.9913,2.87,8.53,17.29,47.59,74.04
23,001790,国泰智能汽车股票,2021-01-22,2.54,2.54,3,8.41,16.14,43.10,66.34
9,400015,东方新能源汽车混合,2021-01-22,3.1652,3.6252,3.17,8.38,19.34,57.03,73.30
35,004925,长信低碳环保行业量化股票,2021-01-22,2.0639,2.0639,2.61,8.17,18.18,44.23,60.75
14,501057,汇添富中证新能源汽车A,2021-01-22,2.4042,2.4042,2.67,8.09,19.61,52.87,69.30
15,501058,汇添富中证新能源汽车C,2021-01-22,2.3856,2.3856,2.67,8.09,19.59,52.79,69.10
37,001858,建信鑫利灵活配置混合,2021-01-22,2.4940,2.4940,2.22,7.91,17.39,40.92,59.61
12,002084,新华鑫动力灵活配置混合C,2021-01-22,2.6094,2.6094,2.71,7.62,18.50,58.34,71.33
11,002083,新华鑫动力灵活配置混合A,2021-01-22,2.6231,2.6231,2.71,7.62,18.48,58.40,71.44
10,001606,农银工业4.0混合,2021-01-22,3.8439,3.8439,3.05,7.59,16.62,45.09,72.61
49,000592,建信改革红利股票,2021-01-22,5.5170,5.5170,2.85,7.48,20.14,38.65,57.63
0,003834,华夏能源革新股票,2021-01-22,3.1130,3.1130,3.49,7.46,27.58,72.94,96.16
19,000336,农银研究精选混合,2021-01-22,4.1059,4.1059,2.88,7.18,18.31,42.02,67.56
5,002190,农银新能源主题,2021-01-22,3.0129,3.0129,3,7.14,13.92,43.40,76.14
28,009067,国泰中证新能源汽车ETF联接A,2021-01-22,2.1856,2.1856,2.57,7.12,16.38,48.36,62.56
29,009068,国泰中证新能源汽车ETF联接C,2021-01-22,2.1807,2.1807,2.57,7.11,16.35,48.25,62.31
33,161028,富国中证新能源汽车指数(LOF),2021-01-22,1.1680,1.4080,2.55,7.06,16.80,49.27,61.33
39,005352,鹏扬景泰成长混合A,2021-01-22,2.2830,2.2830,2.86,7,17.39,41.28,59.54
36,006265,红土创新新科技股票,2021-01-22,3.5766,3.6266,1.96,7,20.02,46.62,60.57
41,005353,鹏扬景泰成长混合C,2021-01-22,2.2542,2.2542,2.85,6.99,17.35,41.13,59.19
40,006424,嘉合锦程混合A,2021-01-22,2.4191,2.5191,1.99,6.74,22.76,52.93,59.24
43,006425,嘉合锦程混合C,2021-01-22,2.3781,2.4781,1.99,6.73,22.69,52.64,58.60
44,160225,国泰国证新能源汽车指数,2021-01-22,1.9105,1.9105,2.74,6.54,15.49,45.43,58.08
48,570001,诺德价值优势混合,2021-01-22,3.5610,3.9910,1.56,6.41,17.02,35.18,57.64
20,003624,创金合信资源股票发起式A,2021-01-22,2.3659,2.3659,2.21,5.94,25.30,51.70,67.54
22,003625,创金合信资源股票发起式C,2021-01-22,2.3144,2.3144,2.21,5.93,25.24,51.51,67.12
45,005660,嘉实资源精选股票A,2021-01-22,2.5469,2.5469,0.59,5.13,23.61,47.68,58.04
47,005661,嘉实资源精选股票C,2021-01-22,2.5207,2.5207,0.59,5.12,23.56,47.50,57.65
24,540008,汇丰晋信低碳先锋股票,2021-01-22,3.4343,3.5343,1.87,4.89,17.27,53.32,65.44
7,000209,信诚新兴产业混合,2021-01-22,3.3950,3.3950,4.11,12.34,25.51,57.76,74.64
38,000828,泰达转型机遇,2021-01-22,2.5210,2.7410,4.74,11.55,18.86,56.68,59.56
18,005927,创金合信新能源汽车股票A,2021-01-22,2.5037,2.5037,4.05,10.54,23.63,61.18,67.84
21,005928,创金合信新能源汽车股票C,2021-01-22,2.4548,2.4548,4.04,10.53,23.57,60.91,67.27
4,005669,前海开源公用事业股票,2021-01-22,1.9064,1.9064,2.04,10.52,19.93,57.71,79.54
13,004745,长盛创新驱动灵活配置混合,2021-01-22,2.3124,2.3124,3.25,10.26,26.27,55.95,70.64
34,001156,申万菱信新能源汽车混合,2021-01-22,2.7110,2.7110,3.24,10.25,19.85,51.03,60.99
1,009147,建信新能源行业股票,2021-01-22,1.9916,1.9916,2.67,10.01,23.16,55.30,90.02
27,006250,上投摩根动力精选,2021-01-22,2.8883,2.8883,3.26,10.01,18.49,47.60,62.86
